Frame, Start, Duration, Pressure1, Pressure2
233, 34.54335, 20.04600, 4.01e+0, 4.021e+0
234, 34.88163, 20.06200, 4.00e+0, 4.017e+0
235, 35.21992, 20.04600, 3.99e+0, 4.014e+0
236, 35.55793, 20.06200, 4.01e+0, 4.018e+0
237, 35.89622, 20.04600, 4.00e+0, 4.017e+0
238, 36.23450, 20.06200, 4.00e+0, 4.018e+0
239, 36.57252, 20.06200, 4.00e+0, 4.011e+0
240, 36.91080, 20.06200, 4.01e+0, 4.022e+0
241, 37.24935, 20.06200, 4.01e+0, 4.016e+0
242, 37.58762, 20.04600, 4.00e+0, 4.015e+0
243, 37.92565, 20.06200, 4.01e+0, 4.020e+0
244, 38.26393, 20.04600, 4.00e+0, 4.017e+0
245, 38.60195, 20.06200, 4.01e+0, 4.017e+0
246, 38.94023, 20.04600, 4.01e+0, 4.016e+0
247, 39.27825, 20.06200, 4.00e+0, 4.011e+0
248, 39.61653, 20.06200, 4.01e+0, 4.015e+0
249, 39.95482, 20.04600, 4.00e+0, 4.013e+0
250, 40.29283, 20.06200, 4.00e+0, 4.011e+0
251, 40.63137, 20.06200, 4.00e+0, 4.015e+0
252, 40.96940, 20.06200, 4.01e+0, 4.015e+0
253, 41.30768, 20.06200, 4.00e+0, 4.012e+0
254, 41.64570, 20.06200, 4.00e+0, 4.015e+0
255, 41.98398, 20.06200, 4.01e+0, 4.016e+0
256, 42.32200, 20.06200, 4.01e+0, 4.016e+0
257, 42.66028, 20.06200, 4.01e+0, 4.018e+0
258, 42.99830, 20.06200, 3.99e+0, 4.013e+0
259, 43.33658, 20.06200, 4.00e+0, 4.014e+0
260, 43.67460, 20.06200, 3.99e+0, 4.007e+0
261, 44.01315, 20.06200, 4.01e+0, 4.015e+0
262, 44.35143, 20.06200, 3.99e+0, 4.013e+0
263, 44.68945, 20.06200, 4.00e+0, 4.017e+0
264, 45.02773, 20.06200, 4.01e+0, 4.016e+0
265, 45.36575, 20.06200, 4.00e+0, 4.013e+0
266, 45.70403, 20.06200, 3.99e+0, 4.014e+0
267, 46.04205, 20.06200, 3.99e+0, 4.013e+0
268, 46.38033, 20.06200, 4.00e+0, 4.013e+0
269, 46.71835, 20.06200, 4.00e+0, 4.009e+0
270, 47.05663, 20.06200, 4.01e+0, 4.019e+0
271, 47.39492, 20.06200, 4.01e+0, 4.020e+0
272, 47.73423, 20.06200, 4.01e+0, 4.018e+0
273, 48.07252, 20.06200, 4.00e+0, 4.020e+0
274, 48.41053, 20.06200, 4.00e+0, 4.015e+0
275, 48.74882, 20.06200, 4.00e+0, 4.014e+0
276, 49.08685, 20.07800, 3.99e+0, 4.012e+0
277, 49.42538, 20.06200, 4.00e+0, 4.011e+0
278, 49.76340, 20.06200, 4.01e+0, 4.014e+0
279, 50.10168, 20.06200, 4.01e+0, 4.017e+0
280, 50.44023, 20.04600, 4.01e+0, 4.014e+0
281, 50.77825, 20.06200, 4.00e+0, 4.014e+0
282, 51.11653, 20.04600, 4.00e+0, 4.013e+0
283, 51.45455, 20.06200, 3.99e+0, 4.011e+0
284, 51.79283, 20.04600, 4.00e+0, 4.014e+0
285, 52.13085, 20.06200, 3.99e+0, 4.010e+0
286, 52.46913, 20.06200, 4.01e+0, 4.014e+0
287, 52.80715, 20.06200, 4.00e+0, 4.015e+0
288, 53.14570, 20.06200, 4.01e+0, 4.015e+0
289, 53.48372, 20.06200, 4.01e+0, 4.017e+0
290, 53.82200, 20.06200, 4.01e+0, 4.018e+0
291, 54.16002, 20.06200, 3.99e+0, 4.010e+0
292, 54.49830, 20.06200, 4.00e+0, 4.014e+0
293, 54.83632, 20.06200, 4.01e+0, 4.019e+0
294, 55.17460, 20.06200, 4.01e+0, 4.017e+0
295, 55.51262, 20.06200, 4.01e+0, 4.020e+0
296, 55.85090, 20.06200, 4.00e+0, 4.016e+0
297, 56.18970, 20.04600, 4.01e+0, 4.017e+0
298, 56.52773, 20.06200, 3.99e+0, 4.013e+0
299, 56.86602, 20.06200, 3.99e+0, 4.012e+0
300, 57.20403, 20.06200, 4.00e+0, 4.019e+0
301, 57.54232, 20.06200, 3.99e+0, 4.015e+0
302, 57.88033, 20.06200, 4.01e+0, 4.019e+0
303, 58.21862, 20.06200, 4.01e+0, 4.019e+0
304, 58.55663, 20.06200, 4.00e+0, 4.014e+0
305, 58.89492, 20.06200, 4.01e+0, 4.016e+0
306, 59.23398, 20.06200, 4.00e+0, 4.015e+0
307, 59.57200, 20.06200, 4.01e+0, 4.016e+0
308, 59.91028, 20.06200, 4.00e+0, 4.014e+0
309, 0.24830, 20.06200, 4.00e+0, 4.017e+0
310, 0.58867, 20.06200, 4.00e+0, 4.018e+0
311, 0.92668, 20.06200, 3.99e+0, 4.014e+0
312, 1.26497, 20.06200, 3.99e+0, 4.014e+0
313, 1.60298, 20.06200, 4.01e+0, 4.017e+0
314, 1.94127, 20.06200, 4.00e+0, 4.007e+0
315, 2.27928, 20.06200, 4.00e+0, 4.014e+0
316, 2.61757, 20.06200, 4.00e+0, 4.014e+0
317, 2.95585, 20.06200, 4.00e+0, 4.016e+0
318, 3.29413, 20.06200, 4.00e+0, 4.020e+0
319, 3.63215, 20.06200, 4.01e+0, 4.018e+0
320, 3.97043, 20.06200, 4.01e+0, 4.021e+0
321, 4.30898, 20.06200, 4.01e+0, 4.018e+0
322, 4.64700, 20.06200, 4.00e+0, 4.017e+0
323, 4.98528, 20.06200, 4.00e+0, 4.013e+0
