scan_num,charge,abundance,mz,fit,average_mw,monoisotopic_mw,mostabundant_mw,fwhm,signal_noise,mono_abundance,mono_plus2_abundance
252,3,276,433.6158,0.0729,1298.6196,1297.8255,1297.8255,0.0797,100.00,1618,334
252,3,264,413.5234,0.0812,1238.3019,1237.5483,1237.5483,0.0392,100.00,1510,779
252,3,469,535.9567,0.0636,1604.9086,1603.8455,1603.8455,0.1027,100.00,1402,904
252,3,138,491.5676,0.1409,1472.6631,1471.6809,1471.6809,0.1027,100.00,1057,114
252,4,10,421.9987,0.0566,1685.0817,1683.9659,1683.9659,0.1027,15.22,1009,444
252,3,298,534.5747,0.2308,1600.7620,1599.6995,1599.6995,0.0589,5.52,376,34
252,2,21,305.1975,0.2811,608.7503,608.3804,608.3804,0.0589,3.46,437,0
252,6,255,434.4449,0.3379,2601.3013,2599.6227,2600.6255,0.5196,5.00,278,306
252,3,148,437.1821,0.1726,1309.3202,1308.5244,1308.5244,0.5196,100.00,377,0
252,1,239,414.8726,0.1905,414.1149,413.8653,413.8653,0.5196,100.00,296,0
253,4,383,422.0080,0.0821,1685.1187,1684.0029,1684.0029,0.0280,36.54,2425,761
253,3,469,413.5266,0.0735,1238.3116,1237.5581,1237.5581,0.0806,100.00,2239,694
253,3,836,433.6156,0.1009,1298.6192,1297.8251,1297.8251,0.0483,20998.69,1799,1057
253,3,1105,535.9564,0.0720,1604.9076,1603.8445,1603.8445,0.0609,100.00,1345,769
253,3,255,408.9430,0.0871,1224.5495,1223.8073,1223.8073,0.1317,100.00,1233,498
253,3,281,491.2197,0.0542,1471.6192,1470.6372,1470.6372,0.0554,100.00,1171,642
253,2,255,434.4380,0.1998,867.3962,866.8615,866.8615,0.0793,7.94,841,0
253,1,410,414.8684,0.1048,414.1108,413.8612,413.8612,0.0993,5.07,320,0
254,4,1096,422.0112,0.1087,1685.1315,1684.0157,1684.0157,0.0473,176.93,3669,1387
254,3,1519,413.5285,0.0565,1238.3174,1237.5638,1237.5638,0.0517,100.00,2743,669
254,3,776,433.6143,0.2836,1298.6152,1297.8211,1297.8211,0.0647,100.00,1672,1630
254,3,328,535.9569,0.1405,1604.9090,1603.8459,1603.8459,0.0371,100.00,1009,684
254,3,343,491.2186,0.0827,1471.6159,1470.6340,1470.6340,0.0528,100.00,1015,612
254,3,130,476.2709,0.1419,1426.7438,1425.7907,1425.7907,0.0528,100.00,687,0
254,3,83,408.9363,0.1094,1224.5294,1223.7872,1223.7872,0.0528,100.00,650,19
254,3,288,419.6055,0.1406,1256.5623,1255.7947,1255.7947,0.1382,5.13,427,211
254,1,14,534.5750,0.1117,533.8964,533.5678,533.5678,0.1382,5.01,393,245
255,4,2276,422.0099,0.0928,1685.1262,1684.0104,1684.0104,0.0596,188.06,3900,1349
255,3,981,413.5286,0.0820,1238.3176,1237.5641,1237.5641,0.0587,66.20,2712,1306
255,5,743,434.2454,0.0688,2166.5934,2165.1877,2166.1906,0.1007,36.13,1535,1458
255,1,385,433.6157,0.1039,432.8702,432.6085,432.6085,0.0549,100.00,1673,71
255,3,191,535.9599,0.2234,1605.9211,1604.8580,1604.8580,0.0549,100.00,1125,205
255,3,159,491.5686,0.0879,1471.6632,1470.6811,1470.6811,0.0549,100.00,898,261
255,3,111,476.2715,0.1339,1426.7458,1425.7928,1425.7928,0.0549,100.00,792,0
255,3,85,569.3019,0.1640,1706.0142,1704.8839,1704.8839,0.0549,3.07,744,359
255,3,378,419.6027,0.1800,1256.5538,1255.7862,1255.7862,0.0437,3.90,466,211
256,4,1831,422.0090,0.0959,1685.1227,1684.0069,1684.0069,0.0538,184.17,3820,1330
256,3,610,413.5303,0.0880,1238.3228,1237.5692,1237.5692,0.0562,52.43,2570,1277
256,5,695,434.2456,0.0496,2166.5942,2165.1885,2166.1914,0.0752,22.36,1826,1393
256,3,83,569.3010,0.1744,1706.0113,1704.8811,1704.8811,0.0752,100.00,1760,905
256,3,94,497.2536,0.0719,1489.7331,1488.7391,1488.7391,0.0752,100.00,1148,555
256,3,768,476.2715,0.1919,1426.7458,1425.7928,1425.7928,0.0540,100.00,792,0
256,3,20,491.2194,0.0698,1471.6183,1470.6364,1470.6364,0.0540,100.00,714,152
256,3,5,487.3009,0.1631,1459.8591,1458.8810,1458.8810,0.0540,100.00,663,543
256,3,193,524.2629,0.1258,1570.8137,1569.7668,1569.7668,0.0540,100.00,634,197
256,1,22,435.2944,0.0307,434.5492,434.2871,434.2871,0.0540,3.86,449,155
256,3,34,535.9560,0.0591,1604.9065,1603.8434,1603.8434,0.0540,4.80,430,149
256,3,91,576.3277,0.0791,1726.1011,1724.9584,1724.9584,0.0540,100.00,398,195
257,3,183,497.2645,0.0649,1489.7656,1488.7716,1488.7716,0.0000,100.00,5412,2075
257,4,372,422.0124,0.1229,1685.1364,1684.0206,1684.0206,0.0989,100.00,3303,1064
257,3,806,569.2990,0.1531,1706.0054,1704.8751,1704.8751,0.0594,100.00,2992,1998
257,5,1166,434.2459,0.0657,2166.5961,2165.1904,2166.1933,0.0626,20.07,1769,1170
257,3,367,413.5337,0.1071,1238.3330,1237.5794,1237.5794,0.0343,26.80,1697,869
257,3,319,487.2940,0.0986,1459.8384,1458.8603,1458.8603,1.9809,100.00,1532,955
257,3,307,563.3045,0.2610,1688.0078,1686.8916,1686.8916,0.0585,100.00,1083,191
257,3,220,476.2730,0.1383,1426.7503,1425.7973,1425.7973,0.0585,100.00,874,22
257,4,350,463.5062,0.1982,1851.2108,1849.9957,1850.9986,0.0484,100.00,583,147
257,2,257,435.2957,0.1466,869.1118,868.5768,868.5768,0.0484,3.32,466,287
